rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,guest_favorite,Wifi,Dedicated workspace,Pool,TV,Elevator,Refrigerator,Microwave,Long term stays allowed,Exterior security cameras on property,Carbon monoxide alarm,Guest favorite,Kitchen,Fast wifi – 265 Mbps,Hot tub,Paid washer – In building,Smoking allowed,City skyline view,Pets allowed,43 inch HDTV,Free washer – In unit,Mabe refrigerator,Free parking on premises,50 inch TV,Washer – In unit,Sauna,Smoke alarm,Superhost,Free parking garage on premises – 1 space,Shared outdoor pool - open specific hours,Shared sauna,Washer,Free parking on premises – 1 space,Shared pool - open specific hours,HDTV,Hair dryer,Mountain view,Park view,Shared outdoor pool - available seasonally, open specific hours, rooftop,Shared outdoor pool - available all year, open specific hours,42 inch TV with Netflix, premium cable,Private hot tub,Private patio or balcony,Private backyard – Not fully fenced,Indoor fireplace: wood-burning,Free carport on premises – 1 space,55 inch HDTV,High chair,Paid parking lot off premises,Free driveway parking on premises – 1 space,32 inch HDTV,Garden view,Dryer,Luggage dropoff allowed,Free street parking,Shared hot tub,HDTV with standard cable,Valley view,Fast wifi – 305 Mbps,Shared pool - available all year, open specific hours,Free residential garage on premises – 1 space,32 inch TV with Fire TV,Shared patio or balcony,32 inch TV with standard cable, Disney+, Netflix, Roku,Free dryer – In unit,Patio or balcony,Shared indoor pool - available all year, open specific hours, rooftop,50 inch HDTV with Netflix,Shared pool,22 inch HDTV,Courtyard view,Free driveway parking on premises,HDTV with standard cable, premium cable,Fast wifi – 197 Mbps,Shared outdoor pool - available all year, open specific hours, pool toys, rooftop,46 inch HDTV with Netflix,Paid washer – In unit
1,500,255,0,245,0,0,0,0,0,607961179859796308,Cabin in Calarcá,01/18/25 - 01/21/25,41,1,1,4.97,4.97 (33),3,https://www.airbnb.com/rooms/607961179859796308?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,12,3,35,0.8536585365853658,0,6,6,0.14634146341463414,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,490,245,0,245,0,0,0,0,0,774856830793821079,Apartment in Armenia,01/18/25 - 01/21/25,65,3,6,4.97,4.97 (127),3,https://www.airbnb.com/rooms/774856830793821079?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,19,3,56,0.8615384615384616,0,9,9,0.13846153846153847,2 beds,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,480,225,0,255,0,0,0,0,0,1148738186124693219,Apartment in Armenia,01/18/25 - 01/21/25,78,7,8,5,5.0 (7),1,https://www.airbnb.com/rooms/1148738186124693219?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,21,3,62,0.7948717948717948,5,11,16,0.20512820512820512,,true,true,true,true,true,true,true,true,true,true,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,480,230,0,250,0,0,0,0,0,839746174932870338,Apartment in Armenia,01/18/25 - 01/21/25,72,6,8,4.99,4.99 (99),2,https://www.airbnb.com/rooms/839746174932870338?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,21,3,62,0.8611111111111112,0,10,10,0.1388888888888889,2 beds,true,true,true,,,true,,,,,false,true,true,,,true,,,,,,,true,,,,,,,,,,,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,470,215,0,255,0,0,0,0,0,1188398923379071368,Apartment in Armenia,01/18/25 - 01/21/25,82,9,7,5,5.0 (10),1,https://www.airbnb.com/rooms/1188398923379071368?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,20,3,61,0.7439024390243902,9,12,21,0.25609756097560976,,true,,true,,true,,,,,true,false,true,true,true,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,470,250,0,220,0,0,0,0,0,1215421356367949245,Apartment in Armenia,01/18/25 - 01/21/25,63,2,2,4.92,4.92 (26),8,https://www.airbnb.com/rooms/1215421356367949245?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,15,3,45,0.7142857142857143,9,9,18,0.2857142857142857,3 beds,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,460,245,0,215,0,0,0,0,0,54209055,Apartment in Armenia,01/18/25 - 01/21/25,65,3,6,4.91,4.91 (163),9,https://www.airbnb.com/rooms/54209055?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,19,3,56,0.8615384615384616,0,9,9,0.13846153846153847,2 beds,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,445,190,0,255,0,0,0,0,0,53031745,Apartment in Armenia,01/18/25 - 01/21/25,90,14,11,5,5.0 (13),1,https://www.airbnb.com/rooms/53031745?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,24,3,72,0.8,5,13,18,0.2,1 double bed,true,true,true,,,true,,,,,false,true,true,,,,,true,true,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,435,180,0,255,0,0,0,0,0,1276084359775389084,Apartment in Armenia,01/18/25 - 01/21/25,92,16,10,5,5.0 (16),1,https://www.airbnb.com/rooms/1276084359775389084?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,23,3,70,0.7608695652173914,9,13,22,0.2391304347826087,2 beds,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,430,210,0,220,0,0,0,0,0,645518976428643145,Apartment in Armenia,01/18/25 - 01/21/25,83,10,11,4.92,4.92 (132),8,https://www.airbnb.com/rooms/645518976428643145?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,24,3,71,0.8554216867469879,0,12,12,0.14457831325301204,4 beds,true,true,,,true,,true,,,,,true,true,,,,,,true,,,,true,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
